5.000000000000000104e-04 0.000000000000000000e+00
1.500000000000000031e-03 0.000000000000000000e+00
2.500000000000000052e-03 0.000000000000000000e+00
3.500000000000000073e-03 0.000000000000000000e+00
4.500000000000000527e-03 0.000000000000000000e+00
5.499999999999999681e-03 0.000000000000000000e+00
6.500000000000000569e-03 0.000000000000000000e+00
7.499999999999999722e-03 0.000000000000000000e+00
8.500000000000000611e-03 0.000000000000000000e+00
9.499999999999999764e-03 0.000000000000000000e+00
1.050000000000000065e-02 0.000000000000000000e+00
1.149999999999999981e-02 0.000000000000000000e+00
1.250000000000000069e-02 0.000000000000000000e+00
1.349999999999999985e-02 0.000000000000000000e+00
1.450000000000000074e-02 0.000000000000000000e+00
1.549999999999999989e-02 0.000000000000000000e+00
1.650000000000000078e-02 0.000000000000000000e+00
1.750000000000000167e-02 0.000000000000000000e+00
1.849999999999999908e-02 0.000000000000000000e+00
1.949999999999999997e-02 0.000000000000000000e+00
2.050000000000000086e-02 0.000000000000000000e+00
2.150000000000000175e-02 0.000000000000000000e+00
2.249999999999999917e-02 0.000000000000000000e+00
2.350000000000000006e-02 0.000000000000000000e+00
2.450000000000000094e-02 0.000000000000000000e+00
2.550000000000000183e-02 0.000000000000000000e+00
2.649999999999999925e-02 0.000000000000000000e+00
2.750000000000000014e-02 0.000000000000000000e+00
2.850000000000000103e-02 0.000000000000000000e+00
2.950000000000000192e-02 0.000000000000000000e+00
3.049999999999999933e-02 0.000000000000000000e+00
3.150000000000000022e-02 0.000000000000000000e+00
3.250000000000000111e-02 0.000000000000000000e+00
3.350000000000000200e-02 0.000000000000000000e+00
3.450000000000000289e-02 0.000000000000000000e+00
3.550000000000000377e-02 0.000000000000000000e+00
3.649999999999999772e-02 0.000000000000000000e+00
3.749999999999999861e-02 0.000000000000000000e+00
3.849999999999999950e-02 0.000000000000000000e+00
3.950000000000000039e-02 0.000000000000000000e+00
4.050000000000000128e-02 0.000000000000000000e+00
4.150000000000000216e-02 0.000000000000000000e+00
4.250000000000000305e-02 0.000000000000000000e+00
4.349999999999999700e-02 0.000000000000000000e+00
4.449999999999999789e-02 0.000000000000000000e+00
4.549999999999999878e-02 0.000000000000000000e+00
4.649999999999999967e-02 0.000000000000000000e+00
4.750000000000000056e-02 0.000000000000000000e+00
4.850000000000000144e-02 0.000000000000000000e+00
4.950000000000000233e-02 0.000000000000000000e+00
5.050000000000000322e-02 0.000000000000000000e+00
5.149999999999999717e-02 0.000000000000000000e+00
5.249999999999999806e-02 0.000000000000000000e+00
5.349999999999999895e-02 0.000000000000000000e+00
5.449999999999999983e-02 0.000000000000000000e+00
5.550000000000000072e-02 0.000000000000000000e+00
5.650000000000000161e-02 0.000000000000000000e+00
5.750000000000000250e-02 0.000000000000000000e+00
5.850000000000000339e-02 0.000000000000000000e+00
5.949999999999999734e-02 0.000000000000000000e+00
6.049999999999999822e-02 0.000000000000000000e+00
6.149999999999999911e-02 0.000000000000000000e+00
6.250000000000000000e-02 0.000000000000000000e+00
6.350000000000000089e-02 0.000000000000000000e+00
6.450000000000000178e-02 0.000000000000000000e+00
6.550000000000000266e-02 0.000000000000000000e+00
6.650000000000000355e-02 0.000000000000000000e+00
6.750000000000000444e-02 0.000000000000000000e+00
6.850000000000000533e-02 0.000000000000000000e+00
6.950000000000000622e-02 0.000000000000000000e+00
7.050000000000000711e-02 0.000000000000000000e+00
7.149999999999999412e-02 0.000000000000000000e+00
7.249999999999999500e-02 0.000000000000000000e+00
7.349999999999999589e-02 0.000000000000000000e+00
7.449999999999999678e-02 0.000000000000000000e+00
7.549999999999999767e-02 0.000000000000000000e+00
7.649999999999999856e-02 0.000000000000000000e+00
7.749999999999999944e-02 0.000000000000000000e+00
7.850000000000000033e-02 0.000000000000000000e+00
7.950000000000000122e-02 0.000000000000000000e+00
8.050000000000000211e-02 0.000000000000000000e+00
8.150000000000000300e-02 0.000000000000000000e+00
8.250000000000000389e-02 0.000000000000000000e+00
8.350000000000000477e-02 0.000000000000000000e+00
8.450000000000000566e-02 0.000000000000000000e+00
8.550000000000000655e-02 0.000000000000000000e+00
8.649999999999999356e-02 0.000000000000000000e+00
8.749999999999999445e-02 0.000000000000000000e+00
8.849999999999999534e-02 0.000000000000000000e+00
8.949999999999999623e-02 0.000000000000000000e+00
9.049999999999999711e-02 0.000000000000000000e+00
9.149999999999999800e-02 0.000000000000000000e+00
9.249999999999999889e-02 0.000000000000000000e+00
